,song id,Artist,Track,Genre,Time
0,0,Destiny's Child,Independent Women Part I,Rock,3:38
1,1,Santana,"Maria, Maria",Rock,4:18
2,2,Savage Garden,I Knew I Loved You,Rock,4:07
3,3,Madonna,Music,Rock,3:45
4,4,"Aguilera, Christina",Come On Over Baby (All I Want Is You),Rock,3:38
5,5,Janet,Doesn't Really Matter,Rock,4:17
6,6,Destiny's Child,Say My Name,Rock,4:31
7,7,"Iglesias, Enrique",Be With You,Latin,3:36
8,8,Sisqo,Incomplete,Rock,3:52
9,9,Lonestar,Amazed,Country,4:25
10,10,N'Sync,It's Gonna Be Me,Rock,3:10
11,11,"Aguilera, Christina",What A Girl Wants,Rock,3:18
12,12,Vertical Horizon,Everything You Want,Rock,4:01
13,13,Creed,With Arms Wide Open,Rock,3:52
14,14,Aaliyah,Try Again,Rock,4:03
15,15,matchbox twenty,Bent,Rock,4:12
16,16,"Carey, Mariah",Thank God I Found You,Rock,4:14
17,17,"Hill, Faith",Breathe,Rap,4:04
18,18,Mya,Case Of The Ex (Whatcha Gonna Do),Rock,3:50
19,19,Dream,He Loves U Not,Rock,3:43
20,20,"Braxton, Toni",He Wasn't Man Enough,Rock,4:21
21,21,"Anthony, Marc",You Sang To Me,Latin,3:50
22,22,98ï¿½,Give Me Just One Night (Una Noche),Rock,3:24
23,23,Destiny's Child,Jumpin' Jumpin',Rock,3:48
24,24,3 Doors Down,Kryptonite,Rock,3:53
25,25,Sisqo,Thong Song,Rock,4:05
26,26,"Aguilera, Christina",I Turn To You,Rock,4:00
27,27,"Houston, Whitney",My Love Is Your Love,Rock,4:16
28,28,Joe,I Wanna Know,Rock,4:57
29,29,"Jordan, Montell",Get It On.. Tonite,Rap,4:34
30,30,N'Sync,Bye Bye Bye,Rock,3:15
31,31,Eminem,The Real Slim Shady,Rap,4:42
32,32,Pink,Most Girls,Rock,4:06
33,33,"Mumba, Samantha",Gotta Tell You,Rock,3:19
34,34,Blaque,Bring It All To Me,Pop,3:46
35,35,"Elliott, Missy ""Misdemeanor""",Hot Boyz,Rap,3:51
36,36,"Gray, Macy",I Try,Rock,3:52
37,37,N'Sync,This I Promise You,Rock,4:23
38,38,Ruff Endz,No More,Rock,3:56
39,39,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,Rock,3:54
40,40,Nine Days,Absolutely (Story Of A Girl),Rock,3:09
41,41,"Dion, Celine",That's The Way It Is,Rock,4:03
42,42,Blink-182,All The Small Things,Rock,2:52
43,43,Eiffel 65,Blue (Da Ba Dee),Electronica,3:29
44,44,"Badu, Erkyah",Bag Lady,Rock,5:03
45,45,Pink,There U Go,Rock,3:23
46,46,Creed,Higher,Rock,5:16
47,47,Nelly,(Hot S**t) Country Grammar,Rap,4:17
48,48,Next,Wifey,Rock,4:03
49,49,Kenny G,Auld Lang Syne (The Millenium Mix),Jazz,7:50
50,50,Sonique,It Feels So Good,Rock,3:48
51,51,"Spears, Britney",Oops!.. I Did It Again,Rock,3:30
52,52,"Backstreet Boys, The",Shape Of My Heart,Rock,3:49
53,53,Everclear,Wonderful,Rock,4:30
54,54,Ja Rule,Between Me And You,Rap,4:05
55,55,"Rimes, LeAnn",I Need You,Country,3:42
56,56,Smash Mouth,Then The Morning Comes,Rock,3:04
57,57,Jay-Z,I Just Wanna Love U (Give It 2 Me),Rap,3:50
58,58,Jagged Edge,Let's Get Married,Rock,4:23
59,59,Filter,Take A Picture,Rock,4:23
60,60,"Martin, Ricky",She Bangs,Latin,4:02
61,61,Mystikal,Shake Ya Ass,Rap,4:46
62,62,BBMak,Back Here,Rock,3:35
63,63,"Spears, Britney",From The Bottom Of My Broken Heart,Rock,4:30
64,64,Third Eye Blind,Never Let You Go,Rock,3:57
65,65,Red Hot Chili Peppers,Otherside,Rock,4:13
66,66,Profyle,Liar,R&B,3:57
67,67,Barenaked Ladies,Pinch Me,Rock,3:46
68,68,Jagged Edge,He Can't Love U,Rock,3:30
69,69,504 Boyz,Wobble Wobble,Rap,3:35
70,70,Sting,Desert Rose,Rock,3:52
71,71,Jay-Z,Big Pimpin',Rap,3:55
72,72,Kid Rock,Only God Knows Why,Rock,5:27
73,73,Foo Fighters,Learn To Fly,Rock,3:55
74,74,"Dixie Chicks, The",Goodbye Earl,Country,4:19
75,75,Guy,Dancin',R&B,4:08
76,76,Lil Bow Wow,Bounce With Me,Rap,3:22
77,77,Westlife,Swear It Again,Rock,4:07
78,78,Train,Meet Virginia,Rock,3:55
79,79,"Thomas, Carl",I Wish,Rock,3:50
80,80,Hanson,This Time Around,Country,4:14
81,81,"Simpson, Jessica",I Think I'm In Love With You,Pop,3:32
82,82,Ludacris,What's Your Fantasy,Rap,4:16
83,83,Lil' Zane,Callin' Me,Rap,3:43
84,84,M2M,Don't Say You Love Me,Pop,3:41
85,85,SoulDecision,Faded,Rock,3:25
86,86,"Brock, Chad",Yes!,Country,3:22
87,87,"Martin, Ricky",Shake Your Bon-Bon,Latin,3:08
88,88,Vertical Horizon,You're A God,Rock,3:45
89,89,Avant,Separated,Rock,4:13
90,90,"Rimes, LeAnn",Big Deal,Country,3:03
91,91,IMx,Stay The Night,Rap,3:37
92,92,Dr. Dre,The Next Episode,Rap,2:38
93,93,"Spears, Britney",Lucky,Rock,3:23
94,94,Savage Garden,Crash And Burn,Rock,4:41
95,95,Kandi,Don't Think I'm Not,Rock,3:50
96,96,Sammie,I Like It,Rock,4:09
97,97,Goo Goo Dolls,Broadway,Rock,3:54
98,98,"Moore, Mandy",I Wanna Be With You,Pop,4:12
99,99,Dr. Dre,Forgot About Dre,Rap,3:42
100,100,D'Angelo,Untitled (How Does It Feel),R&B,7:10
101,101,"Messina, Jo Dee",That's The Way,Country,3:17
102,102,Avant,My First Love,Rock,4:28
103,103,Son By Four,A Puro Dolor (Purest Of Pain),Latin,3:30
104,104,Da Brat,What'Chu Like,Rap,3:57
105,105,DMX,Party Up (Up In Here),Rap,3:45
106,106,"Dixie Chicks, The",Cowboy Take Me Away,Country,4:51
107,107,"McGraw, Tim",My Next Thirty Years,Country,3:37
108,108,"Tritt, Travis",Best Of Intentions,Country,4:15
109,109,Alice Deejay,Better Off Alone,Electronica,6:50
110,110,Hoku,Another Dumb Blonde,Pop,3:47
111,111,"Houston, Whitney",I Learned From The Best,Rock,4:18
112,112,Counting Crows,Hanginaround,Rock,4:07
113,113,Mary Mary,Shackles (Praise You),Rock,3:12
114,114,"Carey, Mariah",Crybaby,Rock,5:19
115,115,"McGraw, Tim",My Best Friend,Country,4:33
116,116,Sugar Ray,Falls Apart,Rock,4:15
117,117,Madonna,American Pie,Rock,4:30
118,118,"Jones, Donell",Where I Wanna Be,Rock,6:22
119,119,"Paisley, Brad",We Danced,Country,3:45
120,120,Lonestar,What About Now,Country,3:30
121,121,"Backstreet Boys, The",The One,Rock,3:46
122,122,"Keith, Toby",How Do You Like Me Now?!,Country,3:29
123,123,"Strait, George",The Best Day,Country,3:24
124,124,"Dixie Chicks, The",Without You,Country,3:32
125,125,Musiq,Just Friends (Sunny),Rap,4:02
126,126,"McEntire, Reba",What Do You Say,Country,3:26
127,127,"Braxton, Toni",Just Be A Man About It,Rock,4:10
128,128,"Iglesias, Enrique",Rhythm Divine,Latin,7:35
129,129,"Fabian, Lara",I Will Love Again,Pop,3:43
130,130,Bon Jovi,It's My Life,Rock,3:44
131,131,"Evans, Sara",Born To Fly,Country,5:36
132,132,"Chesney, Kenny",I Lost It,Country,3:54
133,133,J-Shin,One Night Stand,R&B,4:34
134,134,Eve,Love Is Blind,Rap,3:51
135,135,Aaliyah,I Don't Wanna,Rock,4:15
136,136,"Montgomery, John Michael",The Little Girl,Country,3:52
137,137,"Carter, Aaron",Aaron's Party (Come Get It),R&B,3:23
138,138,"Vassar, Phil",Just Another Day In Paradise,Country,3:54
139,139,Ice Cube,You Can Do It,Rap,4:20
140,140,"Wills, Mark",Back At One,Country,4:00
141,141,Lucy Pearl,Dance Tonight,R&B,3:45
142,142,"Jackson, Alan",It Must Be Love,Country,2:53
143,143,"Griggs, Andy",She's More,Country,3:19
144,144,No Doubt,Simple Kind Of Life,Rock,4:11
145,145,"Jean, Wyclef",911,Rap,4:00
146,146,Rascal Flatts,Prayin' For Daylight,Country,3:36
147,147,Vitamin C,Graduation (Friends Forever),Rock,4:23
148,148,"Gilman, Billy",One Voice,Country,4:07
149,149,Lonestar,Smile,Country,3:33
150,150,"Rogers, Kenny",Buy Me A Rose,Country,3:46
151,151,"Lawrence, Tracy",Lessons Learned,Country,2:55
152,152,"Strait, George",Go On,Country,3:48
153,153,Sisqo,Got To Get It,Rock,3:52
154,154,Baha Men,Who Let The Dogs Out,R&B,3:17
155,155,"Walker, Clay",The Chain Of Love,Country,5:03
156,156,"McBride, Martina",Love's The Only House,Country,5:13
157,157,Amber,Sexual (Li Da Di),Rock,4:38
158,158,"Tippin, Aaron",Kiss This,Country,2:53
159,159,SheDaisy,I Will.. But,Country,3:40
160,160,"Raye, Collin",Couldn't Last A Moment,Country,3:40
161,161,Black Rob,Whoa!,Rap,4:04
162,162,"Jackson, Alan",Pop A Top,Country,3:04
163,163,"Black, Clint",Been There,Country,5:28
164,164,Common,The Light,Rap,3:55
165,165,"Vassar, Phil",Carlene,Country,4:07
166,166,"Jackson, Alan",www.memory,Country,2:36
167,167,Vitamin C,The Itch,Rock,3:30
168,168,"Eastsidaz, The",G'D Up,Rap,4:27
169,169,Ideal,Whatever,R&B,3:48
170,170,"Thomas, Carl",Emotional,Rock,4:31
171,171,Ginuwine,None Of Ur Friends Business,Rock,4:12
172,172,"Davidson, Clay",Unconditional,Country,3:56
173,173,DMX,What You Want,Rap,4:05
174,174,"John, Elton",Someday Out Of The Blue,Rock,4:41
175,175,Pearl Jam,Nothing As It Seems,Rock,5:20
176,176,Mya,The Best Of Me,Rock,4:12
177,177,"Heatherly, Eric",Flowers On The Wall,Country,3:16
178,178,Eminem,Stan,Rap,5:26
179,179,"McEntire, Reba",I'll Be,Country,4:23
180,180,"Lopez, Jennifer",Feelin' Good,Latin,4:28
181,181,"Urban, Keith",Your Everything,Country,4:10
182,182,TLC,Dear Lie,Rock,4:36
183,183,"Gill, Vince",Feels Like Love,Country,4:13
184,184,"Houston, Whitney",Could I Have This Kiss Forever,Rock,3:54
185,185,Bloodhound Gang,The Bad Touch,R&B,4:20
186,186,"Williams, Robbie",Angels,Rock,3:56
187,187,"Messina, Jo Dee",Because You Love Me,Country,3:50
188,188,"Keith, Toby",Country Comes To Town,Country,3:39
189,189,Beenie Man,Girls Dem Sugar,Reggae,4:17
190,190,"Hill, Faith",Let's Make Love,Rap,4:11
191,191,Kelis,Caught Out There,R&B,4:09
192,192,Jay-Z,Anything,Rap,3:41
193,193,3 Doors Down,Loser,Rock,4:24
194,194,Brooks & Dunn,You'll Always Be Loved By Me,Country,2:58
195,195,"Chesney, Kenny",What I Need To Do,Country,4:05
196,196,"Stone, Angie",No More Rain (In This Cloud),R&B,4:42
197,197,Da Brat,That's What I'm Looking For,Rap,3:44
198,198,SheDaisy,This Woman Needs,Country,3:20
199,199,Papa Roach,Last Resort,Rock,3:19
200,200,"Adams, Yolanda",Open My Heart,Gospel,5:30
201,201,Shyne,Bad Boyz,Rap,4:22
202,202,R.E.M.,The Great Beyond,Rock,4:10
203,203,"Diffie, Joe",It's Always Somethin',Country,2:55
204,204,"McGraw, Tim",Some Things Never Change,Country,3:56
205,205,"Henley, Don",Taking You Home,Rock,4:08
206,206,Eminem,The Way I Am,Rap,4:40
207,207,Nas,You Owe Me,R&B,3:51
208,208,Sister Hazel,Change Your Mind,Rock,4:02
209,209,Puff Daddy,Best Friend,Rap,5:33
210,210,"McBride, Martina",There You Are,Country,3:26
211,211,Usher,Pop Ya Collar,Rock,3:36
212,212,Lil' Kim,No Matter What They Say,Rap,4:12
213,213,LFO,I Don't Wanna Kiss You Goodnight,Rock,5:00
214,214,SheDaisy,Deck The Halls,Country,3:46
215,215,Splender,I Think God Can Explain,R&B,3:55
216,216,"Simpson, Jessica",Where You Are,Rock,3:51
217,217,M2M,Mirror Mirror,Pop,3:19
218,218,Kumbia Kings,U Don't Love Me,R&B,3:50
219,219,Joe,Treat Her Like A Lady,Rock,4:12
220,220,"Blige, Mary J.",Deep Inside,Rock,5:26
221,221,"Price, Kelly",You Should've Told Me,Rock,3:12
222,222,Changing Faces,That Other Woman,Rock,4:00
223,223,"Wright, Chely",It Was,R&B,3:51
224,224,Limp Bizkit,Rollin',Rock,4:04
225,225,Hot Boys,I Need A Hot Girl,Rap,4:16
226,226,Jay-Z,Do It Again (Put Ya Hands Up),Rap,3:47
227,227,"Adkins, Trace",More,Country,3:05
228,228,"Dixie Chicks, The",Cold Day In July,Country,5:12
229,229,"Price, Kelly",As We Lay,Rock,6:20
230,230,DMX,What's My Name,Rap,3:50
231,231,"Martin, Ricky",Private Emotion,Latin,4:02
232,232,Nine Days,If I Am,Rock,4:18
233,233,"Blige, Mary J.",Give Me You,Rock,5:00
234,234,Red Hot Chili Peppers,Californication,Rock,5:21
235,235,Third Eye Blind,Deep Inside Of You,Rock,4:10
236,236,"Brooks, Garth",Do What You Gotta Do,Country,2:56
237,237,"Offspring, The",Original Prankster,Rock,3:42
238,238,"Anthony, Marc",My Baby You,Latin,3:59
239,239,"Houston, Whitney","Same Script, Different Cast",Rock,4:45
240,240,D'Angelo,Left & Right,R&B,4:35
241,241,"Kravitz, Lenny",I Belong To You,Rock,4:17
242,242,"Loveless, Patty",That's The Kind Of Mood I'm In,Country,3:27
243,243,Q-Tip,Breathe And Stop,Rock,4:06
244,244,"Rimes, LeAnn",Can't Fight The Moonlight,Country,3:33
245,245,Lil Wayne,Tha Block Is Hot,Rap,4:13
246,246,2 Pac,Baby Don't Cry (Keep Ya Head Up II),Rap,4:22
247,247,"Wallflowers, The",Sleepwalker,Rock,3:29
248,248,Drama,"Left, Right, Left",Rap,3:37
249,249,Limp Bizkit,N 2 Gether Now,Rock,3:55
250,250,Lox,"Ryde or Die, Chick",Rap,3:56
251,251,Ying Yang Twins,Whistle While You Twurk,Rap,4:19
252,252,"Walker, Clay","Live, Laugh, Love",Country,4:06
253,253,Metallica,No Leaf Clover (Live),Rock,5:43
254,254,Yankee Grey,Another Nine Minutes,Country,3:10
255,255,"Bega, Lou",Tricky Tricky ,Rock,3:23
256,256,Big Punisher,It's So Hard,Rap,3:25
257,257,"Worley, Darryl",When You Need My Love,Country,3:35
258,258,Lil' Kim,How Many Licks?,Rap,3:50
259,259,"Clark, Terri",A Little Gasoline,Country,3:07
260,260,"Brock, Chad",A Country Boy Can Survive,Country,3:54
261,261,"Cagle, Chris",My Love Goes On And On,Country,3:02
262,262,"Byrd, Tracy",Put Your Hand In Mine,Country,4:30
263,263,Metallica,I Disappear,Rock,4:26
264,264,Jay-Z,Hey Papi,Rap,3:40
265,265,Fatboy Slim,The Rockafeller Skank,Electronica,4:00
266,266,"Levert, Gerald",Mr. Too Damn Good,R&B,4:06
267,267,"McKnight, Brian",Stay Or Let It Go,Rock,4:32
268,268,"Allan, Gary",Smoke Rings In The Dark,Country,4:18
269,269,Ginuwine,The Best Man I Can Be,Rock,4:06
270,270,Before Dark,Monica,Rock,4:04
271,271,"Estefan, Gloria",No Me Dejes De Querer,Rock,3:25
272,272,Stone Temple Pilots,Sour Girl,Rock,4:16
273,273,Montgomery Gentry,Daddy Won't Sell The Farm,Country,4:18
274,274,"Cyrus, Billy Ray",You Won't Be Lonely Now,Country,3:45
275,275,Clark Family Experience,Meanwhile Back At The Ranch,Country,2:56
276,276,"Thomas, Carl",Summer Rain,Rock,4:57
277,277,"Yearwood, Trisha",Real Live Woman,Country,3:55
278,278,Trick Daddy,Shut Up,Rap,4:17
279,279,"Moore, Chante",Straight Up,Rock,3:40
280,280,Cam'ron,What Means The World To You,Rap,4:38
281,281,Juvenile,U Understand,Rap,3:51
282,282,"Hollister, Dave",Can't Stay,Rock,6:17
283,283,Tamia,Can't Go For That,Rock,3:38
284,284,LFO,West Side Story,Rock,3:27
285,285,"Paisley, Brad",Me Neither,Country,3:19
286,286,"Carter, Torrey",Take That,Rock,3:43
287,287,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),R&B,3:15
288,288,Madison Avenue,Don't Call Me Baby,Electronica,3:44
289,289,Eve,Got It All,Rap,3:48
290,290,Limp Bizkit,Re-Arranged,Rock,4:08
291,291,"Spencer, Tracie",Still In My Heart,Rock,4:11
292,292,Nu Flavor,3 Little Words,R&B,3:54
293,293,Tamar,If You Don't Wanna Love Me,Rock,4:02
294,294,"Levert, Gerald",Baby U Are,R&B,4:10
295,295,"Hart, Beth",L.A. Song,Country,3:47
296,296,"Diffie, Joe",The Quittin' Kind,Country,3:23
297,297,Funkmaster Flex,Do You,Rap,4:14
298,298,"Price, Kelly",Love Sets You Free,Rock,3:46
299,299,En Vogue,Riddle,Rock,5:10
300,300,"Herndon, Ty",No Mercy,Country,4:43
301,301,Anastacia,I'm Outta Love,Pop,4:01
302,302,Trina,Pull Over,Rap,2:58
303,303,Lil' Mo,Ta Da,Rap,4:17
304,304,A*Teens,Dancing Queen,Pop,3:44
305,305,"Sheist, Shade",Where I Wanna Be,Rap,4:16
306,306,De La Soul,All Good?,Rap,5:02
307,307,"Larrieux, Amel",Get Up,R&B,4:02
308,308,"Braxton, Toni",Spanish Guitar,Rock,4:24
309,309,Tuesday,I Know,Rock,4:06
310,310,LL Cool J,Imagine That,Rap,4:00
311,311,Master P,Souljas,Rap,3:33
312,312,Ghostface Killah,Cherchez LaGhost,R&B,3:04
313,313,"Smith, Will",Freakin' It,Rap,3:58
314,314,Zombie Nation,Kernkraft 400,Rock,3:30
315,315,"Eastsidaz, The",Got Beef,Rap,3:58
316,316,Fragma,Toca's Miracle,R&B,3:22
